id;nb_of_copies;warehouse;location;isbn;title
1001;5;WAREHOUSE_EAST;A1-7;1931182310;Advanced Java EE Development for Rational Application Developer 7.5: Developers' Guidebook'
1002;5;WAREHOUSE_EAST;A1-8;1931182311;Advanced Java EE Development for Rational Application Developer 7.5: Developers' Guidebook Author: Robert McChesney Nov-2011'
1003;5;WAREHOUSE_EAST;A1-9;1931182312;Advanced Java EE Development for Rational Application Developer 7.5: Developers' Guidebook 2nd , Seco edition by McChesney, Robert, Cole, Kameron, Raszka, Richard (2011) Paperback'
1004;5;WAREHOUSE_EAST;A1-10;1514210959;Advanced Java EE Development with WildFly
1005;5;WAREHOUSE_EAST;A1-11;8894038912;Advanced Jax-Ws Web Services
1006;5;WAREHOUSE_EAST;A1-12;7176392999;Mike Meyers' Guide to Supporting Windows 7 for CompTIA A+ Certification (Exams 701 & 702) (All-in-One)'
1007;5;WAREHOUSE_EAST;A1-13;1849512442;Apache Maven 3 Cookbook (Quick Answers to Common Problems)
1008;5;WAREHOUSE_EAST;A1-14;2746062399;Apache Tomcat 7 - Guide d'administration du serveur Java EE 6 sous Windows et Linux'
1009;5;WAREHOUSE_EAST;A1-15;2746086336;Apache Tomcat 8 - Guide d'administration du serveur Java EE 7 sous Windows et Linux'
1010;5;WAREHOUSE_EAST;A1-16;1492201448;Apache TomEE Cookbook: Apache TomEE Administrator Cookbook
1011;5;WAREHOUSE_EAST;A1-17;148885162X;Application Server 131 Success Secrets: 131 Most Asked Questions On Application Server - What You Need To Know
1012;5;WAREHOUSE_EAST;A1-18;1782170561;Applied SOA Patterns on the Oracle Platform
1013;5;WAREHOUSE_EAST;A1-19;3831141495;Architektur von Fuzzy-Informationssystemen (German Edition)
1014;5;WAREHOUSE_EAST;A1-20;7180925222;Java: A Beginner's Guide, Sixth Edition'
1015;5;WAREHOUSE_EAST;A1-21;7181791333;jQuery: A Beginner's Guide'
1016;5;WAREHOUSE_EAST;A2-1;9921330411;Java: A Beginner's Tutorial, Updated for Java SE 8'
1017;5;WAREHOUSE_EAST;A2-2;9781118017;Beginning Android Application Development
1018;5;WAREHOUSE_EAST;A2-3;1430246936;Beginning EJB 3 (Java EE 7 Edition)
1019;5;WAREHOUSE_EAST;A2-4;1430246937;Beginning EJB 3, Java EE, 7th 2nd (second) Edition by Wetherbee, Jonathan, Rathod, Chirag, Kodali, Raghu, Zadrozny published by Apress (2013)
1020;5;WAREHOUSE_EAST;A2-5;1430246938;Beginning EJB 3, Java EE, 7th ed.
